City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.3333,55.8,86,47,17.05,NZ,1680372480
1,bredasdorp,-34.5322,20.0403,63.07,92,0,5.88,ZA,1680372482
2,muli,2.9167,73.5667,82.58,72,11,3.74,MV,1680372483
3,rikitea,-23.1203,-134.9692,80.02,81,30,14.43,PF,1680372483
4,sistranda,63.7256,8.834,37.36,67,59,18.7,NO,1680372484
5,saldanha,-33.0117,17.9442,63.84,83,5,15.39,ZA,1680372485
6,albany,42.6001,-73.9662,68.41,67,74,7.0,US,1680371959
7,vestmanna,62.1564,-7.1664,43.72,81,100,10.36,FO,1680372486
8,kapaa,22.0752,-159.319,71.92,93,100,6.91,US,1680372486
9,rundu,-17.9333,19.7667,76.59,47,78,4.74,NA,1680372487
10,busselton,-33.65,115.3333,58.95,88,1,8.21,AU,1680372273
11,tasiilaq,65.6145,-37.6368,32.16,85,100,6.06,GL,1680372489
12,hermanus,-34.4187,19.2345,64.8,76,0,12.55,ZA,1680372490
13,hasaki,35.7333,140.8333,56.21,55,52,9.37,JP,1680372490
14,tabou,4.423,-7.3528,81.97,77,35,7.43,CI,1680372491
15,poum,-20.2333,164.0167,78.03,75,7,3.24,NC,1680372492
16,rajula,21.05,71.4333,78.46,58,16,10.13,IN,1680372492
17,pochutla,15.7432,-96.4661,90.82,43,26,9.86,MX,1680372493
18,bilma,18.6853,12.9164,79.39,6,69,6.91,NE,1680372494
19,sao geraldo do araguaia,-6.4006,-48.555,79.9,88,100,1.88,BR,1680372494
20,provideniya,64.3833,-173.3,21.29,96,97,9.53,RU,1680372495
21,borovskoy,53.8,64.15,31.42,73,7,11.34,KZ,1680372495
22,rawson,-43.3002,-65.1023,77.34,28,79,21.72,AR,1680372496
23,nikolskoye,59.7035,30.7861,33.69,95,100,5.86,RU,1680372497
24,chokurdakh,70.6333,147.9167,-28.07,100,94,6.98,RU,1680372498
25,sydney,-33.8679,151.2073,61.63,91,75,20.71,AU,1680372477
26,yima,34.7381,111.8839,57.56,77,42,14.74,CN,1680372499
27,xam nua,20.4197,104.0439,66.45,62,16,3.13,LA,1680372500
28,jacqueville,5.2052,-4.4146,81.41,80,86,10.6,CI,1680372500
29,hobart,-42.8794,147.3294,54.27,79,100,11.5,AU,1680372425
30,altinopolis,-21.0256,-47.3739,85.35,57,28,5.82,BR,1680372501
31,margate,51.3813,1.3862,49.89,86,100,8.01,GB,1680372502
32,upernavik,72.7868,-56.1549,-15.74,94,74,12.71,GL,1680372207
33,atuona,-9.8,-139.0333,80.35,78,77,15.88,PF,1680372503
34,asau,46.4333,26.4,47.32,90,100,1.43,RO,1680372504
35,henderson,36.0397,-114.9819,64.67,24,0,3.44,US,1680372456
36,kruisfontein,-34.0033,24.7314,61.57,64,0,7.56,ZA,1680372506
37,tuktoyaktuk,69.4541,-133.0374,-8.99,91,8,9.53,CA,1680372507
38,uryupinsk,50.8047,42.0138,46.62,75,51,6.38,RU,1680372508
39,petropavlovsk-kamchatskiy,53.0452,158.6483,23.59,74,0,4.47,RU,1680372252
40,beringovskiy,63.05,179.3167,17.6,65,64,25.52,RU,1680372510
41,mar del plata,-38.0023,-57.5575,69.84,55,0,9.22,AR,1680372511
42,imbituba,-28.24,-48.6703,72.25,50,33,19.44,BR,1680372512
43,batagay,67.6333,134.6333,-24.88,100,91,1.95,RU,1680372513
44,faya,18.3851,42.4509,61.32,73,88,7.2,SA,1680372514
45,aksarka,66.5606,67.7975,34.25,99,100,17.81,RU,1680372514
46,namatanai,-3.6667,152.4333,77.34,82,100,5.66,PG,1680372275
47,yellowknife,62.456,-114.3525,6.84,91,100,18.43,CA,1680372516
